BE/eV	PE: 46.95 eV
160.45	1258.75
160.4	1328.75
160.35	1176.25
160.3	1175.0
160.25	1096.25
160.2	1076.25
160.15	1033.75
160.1	960.0
160.05	890.0
160.0	931.25
159.95	853.75
159.9	812.5
159.85	776.25
159.8	833.75
159.75	690.0
159.7	663.75
159.65	698.75
159.6	682.5
159.55	593.75
159.5	506.25
159.45	512.5
159.4	523.75
159.35	478.75
159.3	425.0
159.25	426.25
159.2	465.0
159.15	417.5
159.1	372.5
159.05	382.5
159.0	371.25
158.95	343.75
158.9	332.5
158.85	350.0
158.8	307.5
158.75	371.25
158.7	311.25
158.65	293.75
158.6	327.5
158.55	270.0
158.5	287.5
158.45	307.5
158.4	271.25
158.35	293.75
158.3	263.75
158.25	257.5
158.2	326.25
158.15	267.5
158.1	256.25
158.05	272.5
158.0	295.0
157.95	291.25
157.9	258.75
157.85	265.0
157.8	287.5
157.75	253.75
157.7	248.75
157.65	255.0
157.6	248.75
157.55	282.5
157.5	246.25
157.45	257.5
157.4	225.0
157.35	262.5
157.3	255.0
157.25	267.5
157.2	238.75
157.15	263.75
157.1	247.5
157.05	253.75
157.0	260.0
156.95	247.5
156.9	247.5
156.85	267.5
156.8	247.5
156.75	245.0
156.7	260.0
156.65	248.75
156.6	255.0
156.55	221.25
156.5	246.25
156.45	275.0
156.4	242.5
156.35	265.0
156.3	232.5
156.25	260.0
156.2	257.5
156.15	223.75
156.1	256.25
156.05	243.75
156.0	232.5
155.95	235.0
155.9	250.0
155.85	235.0
155.8	246.25
155.75	248.75
155.7	237.5
155.65	246.25
155.6	253.75
155.55	256.25
155.5	245.0
155.45	238.75
155.4	233.75
155.35	256.25
155.3	252.5
155.25	213.75
155.2	250.0
155.15	248.75
155.1	233.75
155.05	251.25
155.0	237.5
